assuntokey,CNAEPrincipalkey,datakey,radicalcnpjkey,codigoproblemakey,tipoatendimentokey,PorcentagemReclamacoesPorProblema,PorcentagemReclamacoesPorAssunto,PorcentagemReclamacoesPorCNPJ
75,595,2764,7081,538,6,19,2,256
155,252,16761,1163,2551,2,15,0,6
128,196,17868,27695,1575,6,8,0,154
100,813,6089,27278,1486,6,24,1,447
53,607,11930,11302,4573,1,38,0,94
68,595,18162,27930,1014,2,5,0,153
95,717,16654,30721,1481,6,8,0,184
223,299,8541,6426,3567,3,41,2,75
53,637,8575,15957,489,3,5,0,186
146,624,14997,7098,2152,2,14,0,47
157,575,8777,24322,4478,3,51,1,277
53,637,4698,25494,516,2,10,1,542
157,575,20086,24649,4478,3,22,0,122
157,571,6101,14450,2465,2,40,2,236
156,571,14435,21265,2552,2,17,1,147
193,811,7386,32767,4757,3,64,2,443
87,153,1381,27788,1473,6,106,6,2012
131,533,11483,22205,1639,1,14,1,193
68,631,3963,28770,572,7,14,1,725
136,47,1545,4172,2143,6,138,8,270
153,255,4598,34737,2549,6,55,3,755
123,404,15411,136,1848,1,11,0,0
52,595,5666,33382,515,2,9,0,589
100,389,1488,33300,1486,6,99,6,2237
157,575,9547,26838,2553,1,26,1,281
102,422,20014,25721,4893,1,24,0,128
157,575,15620,26838,4478,2,28,1,171
234,626,7370,33858,3277,3,44,3,459
75,595,6813,33866,4119,6,60,1,497
196,811,12636,32767,4760,6,37,1,259
53,595,11383,28192,516,2,4,0,247
131,473,17063,27222,1517,2,8,0,159
157,575,3723,24649,2553,6,68,4,662
98,420,15523,21280,1989,2,12,0,137
228,516,19491,21426,3476,6,17,1,109
147,533,11566,22205,4469,2,38,1,191
155,252,14692,1163,2551,2,17,1,7
157,575,18644,24649,4447,3,23,0,132
62,607,9811,28054,4640,2,47,0,285
75,516,18700,9622,511,3,2,0,51
156,571,2198,21265,2647,6,120,7,967
93,445,7246,24390,1479,6,20,1,336
218,580,12960,29934,3601,2,27,1,230
52,595,4590,28042,4572,3,99,1,610
152,533,345,22205,4484,6,1299,44,6436
52,595,17908,27700,515,6,2,0,154
155,252,3350,1163,4043,1,120,4,34
155,252,17378,28345,2442,2,14,0,163
91,422,3025,25721,1477,2,48,3,850
155,252,2598,33491,2551,6,98,5,1289
153,255,10684,34737,2549,2,23,1,325
157,571,17625,13264,4478,3,25,0,75
157,571,12239,30743,4478,2,36,1,251
68,624,11922,23964,1014,2,8,0,201
155,252,14681,1163,2551,2,17,1,7
62,596,10658,23378,525,3,4,0,219
235,433,847,32012,3390,8,400,27,3779
53,595,10248,18709,489,2,4,0,182
131,475,19245,6858,1639,2,8,0,35
75,575,13923,24322,538,2,3,0,174
62,607,13521,28054,525,6,3,0,207
53,595,17584,28024,4087,1,23,0,159
93,170,16372,30719,1479,2,9,0,187
53,595,2903,27700,4633,6,159,1,954
54,637,4261,31931,4574,2,107,1,749
157,571,17636,13264,4478,3,25,0,75
157,575,166,23,2553,6,1537,94,13
62,634,1856,29598,4582,6,246,3,1594
153,255,9032,34737,2440,3,27,1,384
75,595,20089,28474,4594,1,22,0,141
155,252,3361,1163,4043,1,120,4,34
62,595,12736,24611,4582,2,35,0,193
157,571,2129,14450,2553,3,119,7,678
157,575,9514,26838,2553,1,26,1,282
157,575,177,23,2553,3,1442,88,12
157,575,16016,24649,2553,2,15,0,153
180,469,8130,2337,3169,6,38,2,28
52,595,10730,22081,1111,2,10,0,205
78,422,12073,25721,4621,2,38,0,213
157,575,1286,24566,2553,3,198,12,1910
153,255,8779,34737,2451,6,27,1,395
186,483,19530,1045,4347,2,22,0,5
157,575,15622,26838,2553,2,16,1,171
62,595,8729,27472,4582,3,52,0,314
153,255,10827,34737,2549,2,23,1,320
156,571,12289,21265,2552,2,20,1,173
240,378,1576,26515,1409,6,89,15,1682
240,171,17303,31522,1534,6,8,1,182
155,252,8431,1163,2657,3,31,1,13
156,575,11985,24322,2552,2,21,1,202
208,172,16786,28144,3253,2,19,1,167
105,671,19698,8774,2401,2,12,0,44
155,252,2730,33491,2551,6,93,5,1226
156,571,6148,21265,2552,3,41,2,345
52,607,3894,28054,557,6,14,1,720
161,762,17963,3890,4387,2,24,0,21
53,595,10230,7093,516,2,5,0,69
144,321,7165,3852,1530,3,21,2,53
155,252,16860,1163,2551,2,15,0,6
157,575,1352,24566,2553,6,188,11,1817
157,575,15611,26838,2553,2,16,1,171
155,252,8539,1163,2453,3,28,1,13
153,255,10805,34737,2549,2,23,1,321
68,626,18724,22196,531,2,2,0,118
234,626,5297,21351,4794,6,90,4,403
156,571,10396,21265,2552,2,24,1,204
75,595,11807,27700,538,2,4,0,234
155,252,16651,1163,2551,2,15,0,6
130,421,5768,76,1516,6,26,2,1
235,516,2670,33939,3318,6,124,8,1271
155,252,19118,28345,2551,2,13,0,148
95,446,8033,21218,1481,3,18,1,264
100,153,4056,27788,4891,2,120,2,685
153,255,10860,34737,2549,2,23,1,319
156,571,5224,30743,2637,3,50,2,588
53,595,17842,18709,516,2,2,0,104
78,626,3489,28199,4597,6,131,2,808
52,634,6305,29598,4632,6,73,0,469
155,252,3449,1163,4043,1,117,4,33
156,579,7868,28897,2552,3,32,1,367
52,595,5470,28192,4105,3,75,0,515
52,596,161,23378,515,6,319,32,14520
156,575,6654,24649,2552,2,38,2,370
95,422,18466,25721,1821,2,9,0,139
157,575,11812,24649,2553,2,21,1,208
73,595,16212,33382,509,2,3,0,205
53,607,2031,34260,603,3,29,2,1686
53,595,7001,28192,4573,2,65,0,402
124,419,17047,33980,1510,2,8,0,199
236,631,6348,675,4352,1,68,3,10
157,575,13703,24649,4495,3,32,1,179
53,595,10252,7093,516,2,5,0,69
207,707,18865,5682,3590,2,19,1,30
39,473,18930,34021,170,2,0,0,179
231,575,1221,24322,3613,6,295,18,1991
157,575,19637,24649,2574,3,13,0,125
92,445,16694,21309,2039,2,12,0,127
157,575,1306,24566,4478,6,342,12,1881
156,575,2082,24566,2552,6,122,7,1179
53,595,7220,24574,4573,3,63,0,340
193,739,5656,24442,3849,6,68,3,432
123,456,13394,5496,1848,6,13,0,41
87,375,59,24882,1928,6,3267,147,42172
52,595,10385,28192,515,2,4,0,271
153,255,4420,34737,4474,2,101,3,785
125,422,19890,25721,1850,2,9,0,129
218,595,15108,18709,4258,2,28,1,123
100,626,16265,22914,1364,2,8,0,140
157,575,5385,26838,4478,3,83,2,498
193,596,2350,23378,3849,6,163,8,994
144,321,15511,11468,1530,6,9,0,73
121,422,14538,21309,1629,6,11,0,146
156,571,3266,14450,2552,2,78,4,442
231,575,1806,24566,3613,6,200,12,1360
52,595,4425,28042,4572,3,103,1,633
92,170,17718,18102,1478,3,8,0,102
75,705,13258,4815,4594,6,34,0,36
68,15,13529,25177,1033,6,7,0,186
157,575,8656,24322,4489,2,51,1,280
105,456,1865,30532,2297,6,123,5,1637
193,741,14792,24483,3391,1,22,1,165
102,489,6542,31018,1993,6,30,1,474
228,516,12648,33939,4789,6,37,1,268
92,422,13896,25721,1600,2,11,0,185
62,595,10614,28192,525,3,4,0,265
153,255,6469,34737,2549,2,39,2,536
53,637,6932,25494,516,1,7,0,367
231,575,12277,24649,3613,2,29,1,200
75,575,1971,24322,511,6,25,3,1233
52,601,5255,21540,4572,6,87,0,409
122,595,11477,7093,2067,2,18,1,61
153,255,18751,34737,2549,2,13,0,185
228,705,5083,2981,3610,6,71,4,58
228,614,2747,28333,3536,6,128,8,1031
52,595,5591,33866,515,1,9,0,605
157,575,13364,24649,2574,3,19,1,184
3,420,18611,25639,141,8,0,0,137
52,620,926,26860,515,6,55,5,2900
139,626,6147,22914,1525,2,24,2,372
157,571,17693,13264,2563,3,14,0,74
157,571,12099,30743,2648,2,21,1,254
155,252,10850,1163,2453,2,22,1,10
75,606,15536,28475,622,6,4,0,183
93,445,7593,6400,1601,3,21,1,84
139,156,3345,25011,1525,6,45,4,747
111,420,19307,21280,2000,2,10,0,110
53,611,6297,15715,4573,2,72,0,249
153,252,14831,1163,2549,2,17,1,7
99,446,8597,21218,2046,3,23,1,246
52,595,17098,29522,488,2,2,0,172
53,595,7741,24611,603,3,7,0,317
91,170,18679,27650,1477,3,7,0,148
107,460,17143,6108,1673,2,9,0,35
101,152,1885,29240,1365,3,72,5,1551
53,595,19173,27095,516,2,2,0,141
193,811,13225,32767,3239,6,24,1,247
53,595,8170,24611,603,3,7,0,301
101,420,4997,21280,1487,6,29,2,425
155,252,3262,1163,4043,1,123,4,35
52,595,9067,1,515,2,5,0,0
157,575,1385,24566,2553,6,184,11,1773
155,252,3251,1163,4043,1,124,4,35
139,626,11744,28150,1525,2,12,1,239
75,742,18071,26057,980,6,5,0,144
53,422,7874,34067,1112,3,14,0,432
62,641,8362,25259,498,3,5,0,302
95,445,18277,21309,1821,2,9,0,116
155,252,747,33491,4476,3,599,20,4483
53,611,8731,15715,516,2,5,0,179
96,445,2345,21309,1482,6,63,4,908
136,571,2487,14450,2326,6,93,5,581
100,389,5085,5300,1486,6,29,1,104
62,595,3611,22081,4640,2,128,1,611
155,252,3273,1163,4043,1,123,4,35
193,741,15835,14333,3849,6,24,1,90
100,389,15397,5300,1486,1,9,0,34
156,571,8924,14450,2658,3,29,1,161
53,595,5870,7093,4573,3,77,0,120
157,575,17942,24649,2553,2,14,0,137
157,575,7683,24649,4478,2,58,2,320
100,152,15625,31696,1486,2,9,0,202
209,315,6722,3617,3214,6,47,3,53
52,595,5505,27700,515,2,9,0,503
53,595,3116,24611,4573,2,146,1,789
155,252,10840,1163,2551,2,23,1,10
157,575,15567,26838,2553,2,16,1,172
153,255,18740,34737,2549,3,13,0,185
62,767,16245,5015,4624,1,28,0,30
93,489,3235,31018,1601,2,49,2,958
157,575,3435,24649,4478,2,130,4,717
218,575,1268,24322,4780,3,376,17,1918
53,595,12963,27700,516,6,3,0,213
217,798,17005,30595,3495,2,20,1,179
92,422,19696,25721,1600,2,8,0,130
68,575,6547,24649,465,3,7,1,376
62,595,16064,7093,525,6,3,0,44
52,595,8552,28042,4572,3,53,0,327
100,387,15423,28511,1486,6,9,0,184
157,575,8046,24649,4478,2,55,1,306
228,705,13173,2981,4789,6,36,1,22
53,595,7795,18709,603,2,7,0,240
148,516,14077,11279,4481,6,31,1,80
78,626,11674,28150,541,3,4,0,241
54,637,6037,25494,517,2,8,0,422
155,252,14615,1163,2551,6,17,1,7
153,255,1903,33551,2440,3,128,8,1763
157,575,8125,24649,2553,2,31,1,303
53,595,5788,28042,516,3,8,0,484
52,595,7599,28192,4572,2,60,0,370
75,595,6970,7093,4594,2,65,1,101
153,255,18859,34737,4463,1,23,0,184
156,571,2406,21265,2552,6,106,6,883
239,379,13598,349,1655,6,12,1,2
90,723,7317,741,1598,6,21,1,10
155,252,12953,1163,2551,2,19,1,8
75,607,16865,2128,4083,2,24,0,12
124,624,15266,7098,1510,6,9,0,46
52,595,2570,28192,4632,6,180,2,1096
157,444,13556,27596,2605,6,19,1,203
52,595,11145,29762,515,2,4,0,267
100,156,12471,16682,1486,2,11,0,133
155,252,3339,1163,4043,1,121,4,34
157,575,7062,24322,2553,2,36,2,344
87,389,17413,5300,1473,1,8,0,30
117,128,10326,33208,1503,6,14,1,321
95,626,17562,30966,1481,6,8,0,176
218,580,502,29934,3601,3,717,43,5962
100,152,15658,31696,1486,2,9,0,202
53,601,13298,32141,603,3,4,0,241
228,705,13131,732,3882,6,29,1,5
52,595,5497,28192,4572,3,83,0,512
100,445,17552,21309,1549,6,8,0,121
52,595,13909,33382,515,2,3,0,240
53,595,7928,7093,4573,2,57,0,89
105,558,204,27681,2297,6,1125,51,13569
155,252,9473,1163,4445,2,46,1,12
53,595,4826,33382,516,2,10,1,691
53,419,4111,30464,4573,6,111,1,741
153,255,11410,34737,2529,2,22,1,304
66,612,17605,23193,529,6,3,0,131
53,595,10997,18709,558,1,5,0,170
153,255,10717,34737,2549,2,23,1,324
193,741,15498,28668,3849,6,24,1,184
231,575,304,24322,3274,6,1076,75,8000
140,472,8122,1123,1585,3,19,1,13
53,595,10644,18709,489,6,4,0,175
52,595,17858,33382,4572,3,25,0,186
52,595,2979,33382,4572,2,153,1,1120
62,575,2050,24566,4582,6,223,3,1198
53,595,7510,7093,4573,3,60,0,94
100,419,1644,25272,1608,6,97,6,1537
228,516,19799,5795,3882,6,19,1,29
56,595,10628,33382,663,3,6,0,314
53,595,13504,27739,516,6,3,0,205
61,432,6634,32315,524,6,7,0,487
53,596,9072,23378,516,3,5,0,257
157,575,1011,24566,2553,6,252,15,2429
100,156,6121,16682,1486,2,24,1,272
218,583,9663,26417,3601,2,37,2,273
204,460,5204,32888,4766,6,91,3,631
52,595,1874,7210,515,6,27,2,384
53,595,11547,18709,516,2,4,0,162
157,575,5694,24649,2638,2,46,2,432
153,255,11091,34737,2549,3,22,1,313
